roll,pitch,depth,pressure
3599,3599,3599,3599
3600,3600,3600,3600
3601,3601,3601,3601
3602,3602,3602,3602
3603,3603,3603,3603
3604,3604,3604,3604
3605,3605,3605,3605
3606,3606,3606,3606
3607,3607,3607,3607
3608,3608,3608,3608
3609,3609,3609,3609
3610,3610,3610,3610
3611,3611,3611,3611
3612,3612,3612,3612
3613,3613,3613,3613
3614,3614,3614,3614
3615,3615,3615,3615
3616,3616,3616,3616
3617,3617,3617,3617
3618,3618,3618,3618
3619,3619,3619,3619
3620,3620,3620,3620
3621,3621,3621,3621
3622,3622,3622,3622
3623,3623,3623,3623
3624,3624,3624,3624
3625,3625,3625,3625
3626,3626,3626,3626
3627,3627,3627,3627
3628,3628,3628,3628
3629,3629,3629,3629
3630,3630,3630,3630
3631,3631,3631,3631
3632,3632,3632,3632
3633,3633,3633,3633
3634,3634,3634,3634
3635,3635,3635,3635
3636,3636,3636,3636
3637,3637,3637,3637
3638,3638,3638,3638
3639,3639,3639,3639
3640,3640,3640,3640
3641,3641,3641,3641
3642,3642,3642,3642
3643,3643,3643,3643
3644,3644,3644,3644
3645,3645,3645,3645
3646,3646,3646,3646
3647,3647,3647,3647
3648,3648,3648,3648
3649,3649,3649,3649
3650,3650,3650,3650
3651,3651,3651,3651
3652,3652,3652,3652
3653,3653,3653,3653
3654,3654,3654,3654
3655,3655,3655,3655
3656,3656,3656,3656
3657,3657,3657,3657
3658,3658,3658,3658
3659,3659,3659,3659
3660,3660,3660,3660
3661,3661,3661,3661
3662,3662,3662,3662
3663,3663,3663,3663
3664,3664,3664,3664
3665,3665,3665,3665
3666,3666,3666,3666
3667,3667,3667,3667
3668,3668,3668,3668
3669,3669,3669,3669
3670,3670,3670,3670
3671,3671,3671,3671
3672,3672,3672,3672
3673,3673,3673,3673
3674,3674,3674,3674
3675,3675,3675,3675
3676,3676,3676,3676
3677,3677,3677,3677
3678,3678,3678,3678
3679,3679,3679,3679
3680,3680,3680,3680
3681,3681,3681,3681
3682,3682,3682,3682
3683,3683,3683,3683
3684,3684,3684,3684
3685,3685,3685,3685
3686,3686,3686,3686
3687,3687,3687,3687
3688,3688,3688,3688
3689,3689,3689,3689
3690,3690,3690,3690
3691,3691,3691,3691
3692,3692,3692,3692
3693,3693,3693,3693
3694,3694,3694,3694
3695,3695,3695,3695
3696,3696,3696,3696
3697,3697,3697,3697
3698,3698,3698,3698
3699,3699,3699,3699
3700,3700,3700,3700
3701,3701,3701,3701
3702,3702,3702,3702
3703,3703,3703,3703
3704,3704,3704,3704
3705,3705,3705,3705
3706,3706,3706,3706
3707,3707,3707,3707
3708,3708,3708,3708
3709,3709,3709,3709
3710,3710,3710,3710
3711,3711,3711,3711
3712,3712,3712,3712
3713,3713,3713,3713
3714,3714,3714,3714
3715,3715,3715,3715
3716,3716,3716,3716
3717,3717,3717,3717
3718,3718,3718,3718
3719,3719,3719,3719
3720,3720,3720,3720
3721,3721,3721,3721
3722,3722,3722,3722
3723,3723,3723,3723
3724,3724,3724,3724
3725,3725,3725,3725
3726,3726,3726,3726
3727,3727,3727,3727
3728,3728,3728,3728
3729,3729,3729,3729
