depth,roll,pressure,pitch
4534.0,5696.0,4533.0,5696.0
4534.0,5696.0,4534.0,5696.0
4536.0,5697.0,4535.0,5696.0
4538.0,5697.0,4538.0,5697.0
4538.0,5698.0,4538.0,5698.0
4539.0,5702.0,4539.0,5702.0
4539.0,5702.0,4539.0,5702.0
4541.0,5709.0,4541.0,5709.0
4542.0,5710.0,4541.0,5710.0
4543.0,5710.0,4543.0,5710.0
4543.0,5710.0,4543.0,5710.0
4546.0,5714.0,4546.0,5713.0
4546.0,5716.0,4546.0,571.0
4547.0,5716.0,4546.0,571.0
4548.0,5720.0,4547.0,5719.0
4550.0,5720.0,4550.0,5719.0
4551.0,5722.0,4550.0,5722.0
4551.0,5723.0,4550.0,5722.0
4552.0,5725.0,4551.0,5724.0
4552.0,5726.0,4552.0,5724.0
4552.0,5726.0,4552.0,5724.0
4552.0,5726.0,4552.0,5724.0
4552.0,5726.0,4552.0,5724.0
4555.0,5728.0,4555.0,5728.0
4557.0,5729.0,4557.0,5728.0
4558.0,5731.0,4557.0,5730.0
4558.0,5733.0,4557.0,5733.0
4558.0,5733.0,4557.0,5733.0
4558.0,5734.0,4557.0,5733.0
4560.0,5737.0,4559.0,5736.0
4561.0,5737.0,4560.0,5736.0
4561.0,5737.0,4561.0,5737.0
4562.0,5738.0,4561.0,5737.0
4562.0,5738.0,4561.0,5737.0
4562.0,5738.0,4561.0,5737.0
4564.0,5739.0,4563.0,5738.0
4564.0,5739.0,4563.0,5739.0
4565.0,5739.0,4564.0,5739.0
4566.0,5741.0,4565.0,5740.0
4566.0,5741.0,4565.0,5741.0
4571.0,5745.0,4571.0,5745.0
4574.0,5745.0,4573.0,5745.0
4576.0,5746.0,4575.0,5745.0
4577.0,5746.0,4576.0,5746.0
4580.0,5750.0,4580.0,5749.0
4582.0,5750.0,4580.0,5750.0
4582.0,5754.0,4580.0,5754.0
45.0,5754.0,4583.0,5754.0
45.0,5756.0,4584.0,5756.0
45.0,5756.0,4584.0,5756.0
45.0,5757.0,4584.0,5756.0
45.0,5757.0,4584.0,5756.0
