temperature,oxygen,heat,humidity,pressure
788,172,327,578,890
107,823,452,797,323
22,185,63,404,54
426,920,614,118,342
116,491,370,698,989
694,271,211,834,599
965,843,990,118,902
323,916,532,413,949
572,574,995,167,855
221,139,470,473,960
876,842,694,386,747
240,628,978,707,425
980,330,445,935,711
396,973,336,883,198
315,417,617,127,862
876,283,918,282,417
907,476,752,143,289
168,71,994,831,236
376,16,803,173,780
281,360,409,70,902
811,878,78,169,309
996,158,497,671,348
238,181,167,770,612
6,703,87,61,592
485,813,58,643,603
912,640,4,897,818
365,474,498,159,896
21,459,703,940,177
57,831,935,896,962
441,354,793,986,675
833,275,287,324,729
151,743,472,998,419
552,388,468,886,244
573,735,234,101,221
1000,147,527,338,386
934,650,385,237,547
935,904,891,452,599
778,383,806,812,794
390,724,625,844,679
904,254,948,810,555
913,31,146,530,224
465,829,810,513,635
339,195,771,802,755
162,657,222,416,738
938,881,819,306,977
248,752,850,199,532
355,594,545,42,684
757,292,496,629,180
1000,661,167,216,225
643,970,348,194,680
532,423,575,514,49
658,698,232,802,724
688,260,887,836,923
317,175,59,271,72
115,645,799,675,763
438,442,298,101,257
968,235,777,965,874
623,404,144,400,226
362,438,639,841,50
399,735,62,413,456
5,537,421,325,512
812,524,613,983,694
313,371,227,93,540
387,140,365,892,529
773,858,662,657,11
631,916,474,656,259
631,531,573,791,979
504,378,401,32,991
444,686,477,250,477
459,372,919,869,889
740,652,357,381,454
404,152,990,409,400
545,519,735,844,728
538,718,405,602,573
266,733,797,844,227
781,106,385,616,831
242,170,809,940,295
484,904,490,831,739
719,264,632,383,728
553,892,482,114,940
541,821,480,502,788
168,704,936,742,629
46,48,261,882,384
520,49,234,203,810
397,902,319,774,122
483,988,866,111,174
429,330,250,548,113
668,196,485,893,191
869,501,355,97,910
552,209,90,246,487
655,307,209,810,955
192,435,845,615,904
633,538,316,276,29
200,551,805,500,528
187,907,626,949,794
592,946,449,138,693
630,206,191,691,874
259,452,601,398,147
102,537,885,860,47
824,743,58,102,552
594,439,827,872,946
912,905,704,306,472
747,529,459,353,662
193,268,192,650,701
759,248,59,276,618
601,301,564,481,38
819,203,432,277,204
426,191,118,425,85
284,149,404,731,404
881,797,938,28,389
259,824,261,652,680
980,363,419,115,663
575,626,619,337,845
817,663,579,172,503
411,531,683,249,557
139,971,124,494,168
428,111,744,137,686
605,672,499,287,11
912,745,244,642,583
247,932,664,796,585
502,468,518,682,918
106,325,331,902,644
66,937,421,518,398
867,238,69,244,632
556,362,355,502,465
869,828,367,533,179
966,600,327,144,659
715,633,896,761,888
79,42,172,369,691
511,855,977,149,293
808,928,457,599,81
112,644,443,300,929
312,118,583,91,271
444,491,728,501,16
398,886,524,330,845
805,149,336,695,72
190,148,745,129,241
345,625,380,333,155
519,75,193,80,83
66,815,988,360,684
755,75,201,552,849
872,128,664,178,417
527,101,703,8,950
306,605,113,846,62
83,137,693,630,689
334,365,463,503,981
959,678,616,173,638
606,140,930,899,968
825,833,517,34,600
838,135,610,723,252
112,818,102,691,745
179,650,763,215,897
913,464,690,895,245
175,983,501,537,429
679,991,268,221,572
415,643,799,82,782
47,310,674,702,553
550,18,78,395,13
576,319,276,981,571
585,929,287,37,217
900,603,396,649,179
315,966,567,359,756
586,640,579,566,462
434,247,500,748,341
642,397,961,298,870
479,765,353,326,267
139,984,292,133,466
943,462,682,981,192
819,516,634,8,361
785,242,991,415,134
2,618,999,644,743
783,230,179,95,305
803,120,952,70,838
397,978,582,590,930
33,125,693,658,368
683,551,939,233,949
708,668,134,212,439
743,323,113,337,768
561,299,471,187,268
579,515,844,148,749
943,464,981,914,795
989,364,875,790,733
348,238,993,279,233
778,573,48,816,304
803,640,237,980,683
62,442,280,610,190
332,556,161,768,946
58,77,451,409,323
505,650,37,767,130
944,379,633,684,426
117,370,585,191,397
581,639,344,487,334
502,163,543,475,325
909,411,782,525,213
78,277,167,82,790
320,983,820,326,947
366,996,68,911,9
500,974,326,54,457
868,806,993,386,664
262,606,981,142,285
130,150,368,699,545
535,361,563,392,885
859,472,980,832,605
839,734,199,695,901
501,68,4,184,563
686,375,651,146,620
151,919,344,469,49
67,660,561,376,891
499,700,184,858,817
690,849,9,805,282
905,791,169,995,789
487,858,758,772,318
556,205,36,841,259
256,350,944,61,483
326,190,829,118,83
942,70,52,248,626
536,631,176,310,119
596,639,506,412,549
190,34,400,119,539
672,216,923,668,277
120,804,310,722,933
402,552,284,888,517
722,140,984,562,953
79,583,983,171,196
993,533,42,216,497
210,541,674,58,814
196,205,124,775,592
972,919,216,808,900
894,928,661,945,736
593,585,181,80,649
96,136,461,67,15
659,889,441,488,424
125,402,593,970,373
742,295,111,51,293
550,273,318,901,820
81,134,396,2,419
603,796,700,951,312
367,563,87,292,786
244,675,54,685,94
902,989,566,783,480
976,513,195,101,898
26,232,375,260,921
346,663,540,123,142
321,934,50,605,836
608,704,111,55,204
997,743,212,122,857
272,623,615,900,507
133,729,417,136,706
539,717,841,754,259
573,219,140,88,225
26,896,238,660,917
453,147,906,947,240
929,855,271,351,895
814,257,317,162,11
317,978,704,718,240
128,808,247,39,113
193,792,523,673,59
226,554,203,482,159
322,662,872,359,868
319,529,72,653,596
858,595,570,317,133
907,710,302,425,625
261,80,584,956,771
14,960,62,425,574
542,658,738,780,636
78,839,648,778,511
206,964,566,718,962
27,579,16,580,672
505,276,181,459,266
479,23,885,868,753
39,350,202,427,550
973,891,152,818,151
239,331,752,899,978
422,702,558,718,453
366,432,355,756,868
891,835,155,179,545
436,31,648,713,899
380,207,493,812,747
455,588,562,452,365
384,742,637,88,904
855,383,188,826,630
969,259,126,719,687
336,765,545,292,687
296,704,655,109,174
884,557,466,851,540
