roll,pitch,depth,pressure
6385,6385,6385,6385
6386,6386,6386,6386
6387,6387,6387,6387
6388,6388,6388,6388
6389,6389,6389,6389
6390,6390,6390,6390
6391,6391,6391,6391
6392,6392,6392,6392
6393,6393,6393,6393
6394,6394,6394,6394
6395,6395,6395,6395
6396,6396,6396,6396
6397,6397,6397,6397
6398,6398,6398,6398
6399,6399,6399,6399
6400,6400,6400,6400
6401,6401,6401,6401
6402,6402,6402,6402
6403,6403,6403,6403
6404,6404,6404,6404
6405,6405,6405,6405
6406,6406,6406,6406
6407,6407,6407,6407
6408,6408,6408,6408
6409,6409,6409,6409
6410,6410,6410,6410
6411,6411,6411,6411
6412,6412,6412,6412
6413,6413,6413,6413
6414,6414,6414,6414
6415,6415,6415,6415
6416,6416,6416,6416
6417,6417,6417,6417
6418,6418,6418,6418
6419,6419,6419,6419
6420,6420,6420,6420
6421,6421,6421,6421
6422,6422,6422,6422
6423,6423,6423,6423
6424,6424,6424,6424
6425,6425,6425,6425
6426,6426,6426,6426
6427,6427,6427,6427
6428,6428,6428,6428
6429,6429,6429,6429
6430,6430,6430,6430
6431,6431,6431,6431
6432,6432,6432,6432
6433,6433,6433,6433
6434,6434,6434,6434
6435,6435,6435,6435
6436,6436,6436,6436
6437,6437,6437,6437
6438,6438,6438,6438
6439,6439,6439,6439
6440,6440,6440,6440
6441,6441,6441,6441
6442,6442,6442,6442
6443,6443,6443,6443
6444,6444,6444,6444
6445,6445,6445,6445
6446,6446,6446,6446
6447,6447,6447,6447
6448,6448,6448,6448
6449,6449,6449,6449
6450,6450,6450,6450
6451,6451,6451,6451
6452,6452,6452,6452
6453,6453,6453,6453
6454,6454,6454,6454
6455,6455,6455,6455
6456,6456,6456,6456
6457,6457,6457,6457
6458,6458,6458,6458
6459,6459,6459,6459
6460,6460,6460,6460
6461,6461,6461,6461
6462,6462,6462,6462
6463,6463,6463,6463
6464,6464,6464,6464
6465,6465,6465,6465
6466,6466,6466,6466
6467,6467,6467,6467
6468,6468,6468,6468
6469,6469,6469,6469
6470,6470,6470,6470
6471,6471,6471,6471
6472,6472,6472,6472
6473,6473,6473,6473
6474,6474,6474,6474
6475,6475,6475,6475
6476,6476,6476,6476
6477,6477,6477,6477
6478,6478,6478,6478
6479,6479,6479,6479
6480,6480,6480,6480
6481,6481,6481,6481
6482,6482,6482,6482
6483,6483,6483,6483
6484,6484,6484,6484
6485,6485,6485,6485
6486,6486,6486,6486
6487,6487,6487,6487
6488,6488,6488,6488
6489,6489,6489,6489
6490,6490,6490,6490
6491,6491,6491,6491
6492,6492,6492,6492
6493,6493,6493,6493
6494,6494,6494,6494
6495,6495,6495,6495
6496,6496,6496,6496
6497,6497,6497,6497
6498,6498,6498,6498
6499,6499,6499,6499
6500,6500,6500,6500
6501,6501,6501,6501
6502,6502,6502,6502
6503,6503,6503,6503
6504,6504,6504,6504
6505,6505,6505,6505
6506,6506,6506,6506
6507,6507,6507,6507
6508,6508,6508,6508
6509,6509,6509,6509
6510,6510,6510,6510
6511,6511,6511,6511
6512,6512,6512,6512
6513,6513,6513,6513
6514,6514,6514,6514
6515,6515,6515,6515
6516,6516,6516,6516
6517,6517,6517,6517
6518,6518,6518,6518
6519,6519,6519,6519
6520,6520,6520,6520
6521,6521,6521,6521
6522,6522,6522,6522
6523,6523,6523,6523
6524,6524,6524,6524
6525,6525,6525,6525
